iter	Passed	Remaining
504	832	815
505	833	814
506	835	812
507	838	811
508	840	810
509	841	808
510	843	806
511	844	805
512	846	803
513	848	801
514	849	800
515	851	798
516	853	797
517	855	795
518	856	793
519	858	792
520	859	790
521	861	788
522	862	787
523	864	785
524	866	783
525	867	781
526	870	781
527	872	779
528	873	777
529	875	776
530	876	774
531	878	772
532	879	770
533	881	769
534	882	767
535	885	766
536	886	764
537	888	762
538	889	761
539	891	759
540	892	757
541	894	755
542	895	753
543	897	752
544	899	750
545	901	749
546	902	747
547	904	745
548	905	744
549	907	742
550	908	740
551	910	738
552	912	737
553	913	735
554	915	733
555	917	732
556	919	731
557	920	729
558	922	727
559	923	725
560	925	723
561	926	722
562	928	720
563	929	718
564	932	717
565	933	716
566	935	714
567	936	712
568	938	710
569	940	709
570	941	707
571	943	705
572	945	704
573	946	702
574	948	701
575	950	699
576	952	697
577	953	696
578	955	694
579	957	693
580	958	691
581	960	689
582	962	688
583	964	687
584	966	685
585	968	683
586	969	682
587	971	680
588	973	679
589	974	677
590	976	675
591	978	674
592	980	672
593	981	671
594	983	669
595	985	667
596	986	666
597	988	664
598	989	662
599	991	660
600	993	659
601	995	657
602	996	656
603	998	654
604	1000	653
605	1001	651
606	1003	649
607	1005	648
608	1007	646
609	1009	645
610	1011	643
611	1012	641
612	1014	640
613	1015	638
614	1017	636
615	1018	635
616	1020	633
617	1021	631
618	1023	630
619	1026	628
620	1027	627
621	1029	625
622	1030	623
623	1032	622
624	1034	620
625	1035	618
626	1037	617
627	1038	615
628	1040	613
629	1042	612
630	1043	610
631	1045	608
632	1047	607
633	1049	605
634	1050	603
635	1052	602
636	1053	600
637	1055	598
638	1058	597
639	1060	596
640	1061	594
641	1063	593
642	1065	591
643	1066	589
644	1068	587
645	1069	586
646	1071	584
647	1073	583
648	1075	581
649	1077	579
650	1078	578
651	1080	576
652	1081	574
653	1083	573
654	1084	571
655	1086	569
656	1088	568
657	1089	566
658	1091	564
659	1093	563
660	1094	561
661	1096	559
662	1097	558
663	1099	556
664	1101	554
665	1104	553
666	1105	552
667	1106	550
668	1108	548
669	1109	546
670	1111	545
671	1113	543
672	1114	541
673	1116	540
674	1118	538
675	1120	537
676	1122	535
677	1123	533
678	1125	532
679	1127	530
680	1128	528
681	1130	527
682	1131	525
683	1133	523
684	1136	522
685	1137	520
686	1139	519
687	1140	517
688	1142	515
689	1144	513
690	1145	512
691	1147	510
692	1148	508
693	1151	507
694	1153	506
695	1154	504
696	1156	502
697	1158	501
698	1159	499
699	1161	497
700	1162	495
701	1164	494
702	1166	493
703	1168	491
704	1170	489
705	1171	488
706	1173	486
707	1175	484
708	1176	482
709	1178	481
710	1179	479
711	1182	478
712	1183	476
713	1185	474
714	1186	473
715	1188	471
716	1190	469
717	1191	468
718	1193	466
719	1195	464
720	1196	463
721	1198	461
722	1200	459
723	1201	458
724	1203	456
725	1205	454
726	1206	453
727	1208	451
728	1210	449
729	1211	448
730	1213	446
731	1215	445
732	1217	443
733	1218	441
734	1220	439
735	1222	438
736	1223	436
737	1225	435
738	1227	433
739	1228	431
740	1230	430
741	1232	428
742	1233	426
743	1235	424
744	1236	423
745	1238	421
746	1240	419
747	1241	418
748	1243	416
749	1245	415
750	1246	413
751	1248	411
752	1250	410
753	1251	408
754	1253	406
755	1255	405
756	1257	403
757	1258	401
758	1260	400
759	1262	398
760	1264	397
761	1265	395
762	1267	393
763	1268	391
764	1270	390
765	1272	388
766	1273	386
767	1275	385
768	1277	383
769	1279	382
770	1280	380
771	1282	378
772	1284	377
773	1285	375
774	1287	373
775	1288	372
776	1290	370
777	1292	368
778	1294	367
779	1295	365
780	1297	363
781	1298	362
782	1300	360
783	1302	358
784	1303	357
785	1305	355
786	1307	353
787	1309	352
788	1310	350
789	1312	348
790	1314	347
791	1315	345
792	1317	343
793	1319	342
794	1320	340
795	1322	338
796	1323	337
797	1325	335
798	1327	333
799	1328	332
800	1330	330
801	1331	328
802	1333	327
803	1334	325
804	1336	323
805	1338	322
806	1339	320
807	1341	318
808	1342	317
809	1344	315
810	1345	313
811	1347	311
812	1348	310
813	1350	308
814	1351	306
815	1353	305
816	1355	303
817	1357	301
818	1358	300
819	1360	298
820	1361	296
821	1363	295
822	1364	293
823	1366	291
824	1368	290
825	1370	288
826	1371	286
827	1373	285
828	1375	283
829	1376	281
830	1378	280
831	1379	278
832	1381	276
833	1383	275
834	1385	273
835	1386	272
836	1388	270
837	1389	268
838	1391	266
839	1392	265
840	1394	263
841	1395	261
842	1397	260
843	1399	258
844	1401	257
845	1402	255
846	1404	253
847	1405	252
848	1407	250
849	1409	248
850	1410	246
851	1412	245
852	1414	243
853	1415	242
854	1417	240
855	1418	238
856	1420	237
857	1421	235
858	1423	233
859	1425	231
860	1426	230
861	1428	228
862	1430	227
863	1431	225
864	1433	223
865	1434	222
866	1436	220
867	1438	218
868	1439	217
869	1441	215
870	1442	213
871	1444	212
872	1446	210
873	1447	208
874	1449	207
875	1451	205
876	1452	203
877	1454	202
878	1455	200
879	1457	198
880	1459	197
881	1460	195
882	1462	193
883	1464	192
884	1465	190
885	1467	188
886	1469	187
887	1470	185
888	1472	183
889	1473	182
890	1475	180
891	1477	178
892	1479	177
893	1480	175
894	1482	173
895	1483	172
896	1485	170
897	1487	168
898	1488	167
899	1490	165
900	1491	163
901	1493	162
902	1495	160
903	1496	158
904	1498	157
905	1499	155
906	1501	153
907	1502	152
908	1504	150
909	1505	148
910	1507	147
911	1509	145
912	1510	143
913	1512	142
914	1513	140
915	1515	138
916	1516	137
917	1518	135
918	1520	133
919	1521	132
920	1523	130
921	1525	129
922	1527	127
923	1528	125
924	1530	124
925	1532	122
926	1533	120
927	1535	119
928	1536	117
929	1538	115
930	1540	114
931	1542	112
932	1543	110
933	1545	109
934	1546	107
935	1548	105
936	1550	104
937	1551	102
938	1553	100
939	1554	99
940	1556	97
941	1558	95
942	1559	94
943	1561	92
944	1563	90
945	1564	89
946	1566	87
947	1567	86
948	1569	84
949	1571	82
950	1572	81
951	1574	79
952	1576	77
953	1577	76
954	1579	74
955	1580	72
956	1582	71
957	1584	69
958	1585	67
959	1587	66
960	1589	64
961	1591	62
962	1592	61
963	1594	59
964	1595	57
965	1597	56
966	1598	54
967	1600	52
968	1602	51
969	1603	49
970	1605	47
971	1606	46
972	1608	44
973	1609	42
974	1611	41
975	1613	39
976	1614	38
977	1616	36
978	1617	34
979	1619	33
980	1620	31
981	1622	29
982	1623	28
983	1625	26
984	1626	24
985	1628	23
986	1629	21
987	1631	19
988	1632	18
989	1634	16
990	1636	14
991	1637	13
992	1639	11
993	1641	9
994	1642	8
995	1644	6
996	1645	4
997	1647	3
998	1648	1
999	1650	0
