iter	Logloss
161	0.3344486741
162	0.3332128936
163	0.3318635025
164	0.3311449179
165	0.3302482087
166	0.3289921104
167	0.3280057037
168	0.3266385519
169	0.3254234248
170	0.3244219364
171	0.3232766332
172	0.321836634
173	0.320489146
174	0.319730467
175	0.3182755645
176	0.3172746148
177	0.3160981399
178	0.315012551
179	0.3139238637
180	0.3131014794
181	0.3121667008
182	0.3116876346
183	0.3110096502
184	0.3100620429
185	0.3089973193
186	0.3079287805
187	0.3066564186
188	0.3060663764
189	0.3053552171
190	0.3042845462
191	0.3032465319
192	0.302246646
193	0.3014520987
194	0.3004246454
195	0.2996731073
196	0.2989560846
197	0.298593308
198	0.2976620377
199	0.2967459797
200	0.2958169743
201	0.2950827886
202	0.2944482222
203	0.2937542205
204	0.2932249534
205	0.2926617476
206	0.2920047773
207	0.2912286968
208	0.290599238
209	0.2897607711
210	0.2890520813
211	0.2880443335
212	0.287328191
213	0.286427394
214	0.2856049105
215	0.2851238921
216	0.2842869484
217	0.2833650735
218	0.282810976
219	0.2822615773
220	0.2815481134
221	0.2810393108
222	0.2802189346
223	0.2796427233
224	0.2786980904
225	0.2778844949
226	0.2769777833
227	0.2761344931
228	0.2757295122
229	0.2750817943
230	0.274312032
231	0.2733976224
232	0.2727907121
233	0.271675861
234	0.271042664
235	0.2703266924
236	0.2698665942
237	0.2689747446
238	0.2682282487
239	0.2676193055
240	0.267112848
241	0.2663432613
242	0.2657716438
243	0.2651803578
244	0.2643596657
245	0.2635271623
246	0.2628770117
247	0.262240384
248	0.26212382
249	0.261534088
250	0.2609326323
251	0.2608584814
252	0.2600751023
253	0.259420396
254	0.2588558361
255	0.2580533091
256	0.2572163992
257	0.2565869652
258	0.2553943332
259	0.2546090167
260	0.2535637707
261	0.2527667495
262	0.2524681123
263	0.2519326231
264	0.2513498901
265	0.2506258103
266	0.2500828995
267	0.2494860645
268	0.2487286124
269	0.2481097721
270	0.247298679
271	0.246890787
272	0.2466247472
273	0.2459419227
274	0.2452638482
275	0.244561428
276	0.2437667931
277	0.2431229158
278	0.2426804737
279	0.2416192742
280	0.2410099512
281	0.2405425437
282	0.2402392642
283	0.2397088145
284	0.2392517339
285	0.2385885594
286	0.2381050376
287	0.2374598437
288	0.2373286206
289	0.236842521
290	0.236171254
291	0.2353934403
292	0.2348094551
293	0.2341017966
294	0.2334400162
295	0.2333479497
296	0.2327163905
297	0.2321939943
298	0.2318169981
299	0.2312818818
300	0.2307098571
301	0.2302485963
302	0.2296559779
303	0.2289682089
304	0.2284904687
305	0.2280678681
306	0.2276536079
307	0.2273306419
308	0.2270088649
309	0.2265166603
310	0.2262653403
311	0.2258763545
312	0.2254024027
313	0.2251615239
314	0.2246844114
315	0.2246125578
316	0.2242220751
317	0.2237946433
318	0.2230560648
319	0.2228240898
320	0.2222303337
321	0.2218277518
322	0.2213301463
323	0.2207772236
324	0.2202613037
325	0.2200929839
326	0.2197233122
327	0.2191362761
328	0.218566308
329	0.2181730028
330	0.2178023136
331	0.2175893504
332	0.2173460949
333	0.2168576306
334	0.2162643676
335	0.2157577577
336	0.2154069559
337	0.2149554934
338	0.2143597656
339	0.2137626758
340	0.213362112
341	0.2128428579
342	0.2123591626
343	0.2119523841
344	0.2114920052
345	0.2111670327
346	0.2106776971
347	0.2102800038
348	0.2097454419
349	0.2093830193
350	0.2089695635
351	0.2084680949
352	0.2080132334
353	0.2074324858
354	0.2069057791
355	0.2067739457
356	0.2063673624
357	0.2058202049
358	0.2054301194
359	0.2050824962
360	0.2044390883
361	0.2040226518
362	0.2035174776
363	0.2030630834
364	0.202664408
365	0.2022794654
366	0.2019425435
367	0.2013046763
368	0.200715055
369	0.2003900767
370	0.1999272736
371	0.1995496328
372	0.1992931155
373	0.1988648266
374	0.1987145696
375	0.1982918213
376	0.1978334157
377	0.1973371437
378	0.1968595059
379	0.1964916861
380	0.1961028729
381	0.1957318514
382	0.1954633947
383	0.1951313515
384	0.194694931
385	0.1943381133
386	0.1937329342
387	0.1933136424
388	0.1928005266
389	0.1924322648
390	0.1922207833
391	0.1918482448
392	0.1913709757
393	0.1911628357
394	0.1908037831
395	0.1903166892
396	0.1899344425
397	0.189543185
398	0.1891005899
399	0.1885750035
400	0.1885243048
401	0.1881198487
402	0.1874499833
403	0.187119801
404	0.1867390708
405	0.1865358965
406	0.1862818557
407	0.1858757924
408	0.185461701
409	0.1851346577
410	0.1848746222
411	0.1846320629
412	0.1842741312
413	0.183944603
414	0.1835860325
415	0.1832698446
416	0.182898167
417	0.1825254992
418	0.18219455
419	0.182034339
420	0.1818381126
421	0.1816556148
422	0.1814205747
423	0.1810711311
424	0.1808223181
425	0.1804095275
426	0.1801718679
427	0.1800407366
428	0.179840848
429	0.1796770787
430	0.1791960486
431	0.1787880685
432	0.1784161087
433	0.178173734
434	0.1777976852
435	0.1776209178
436	0.1774580099
437	0.1771736272
438	0.1769775226
439	0.1766187971
440	0.1763147664
441	0.1758564041
442	0.1754278087
443	0.1751462743
444	0.1747958977
445	0.1745300377
446	0.1742565753
447	0.1739046853
448	0.1735430518
449	0.1733155578
450	0.1730090016
451	0.1726421645
452	0.1724430966
453	0.1721468716
454	0.1718653504
455	0.1716552176
456	0.1712367318
457	0.1708839483
458	0.1706091192
459	0.1701031886
460	0.1698681549
461	0.1695034947
462	0.1691607933
463	0.1688748614
464	0.1685186619
465	0.1683480244
466	0.1681617113
467	0.1679022966
468	0.1676393473
469	0.167421073
470	0.1671368707
471	0.1667164939
472	0.1664742094
473	0.1662865313
474	0.1660493865
475	0.1657630274
476	0.1655220906
477	0.1651269646
478	0.1648570442
479	0.1645298257
480	0.1642360054
481	0.1640014216
482	0.1637568089
483	0.163499435
484	0.1632845238
485	0.1629921077
486	0.1626459249
487	0.1623036123
488	0.1619305653
489	0.1616315857
490	0.1613451722
491	0.1610648289
492	0.1607605367
493	0.1604216668
494	0.160093163
495	0.1597933078
496	0.1595572787
497	0.1591730661
498	0.1588155538
499	0.1585092734
500	0.1581980074
501	0.1580867161
502	0.1578238332
503	0.1574405474
504	0.157422118
505	0.1571406975
506	0.1566901887
507	0.1565285884
508	0.1562849647
509	0.1561708767
510	0.1559398343
511	0.1555077602
512	0.1551855444
513	0.1549003008
514	0.1547179069
515	0.1544072865
516	0.1541195807
517	0.153889386
518	0.1536145063
519	0.1532741342
520	0.1529745818
521	0.1527561946
522	0.1525018073
523	0.1522762728
524	0.1521244555
525	0.1518011389
526	0.151621808
527	0.151419418
528	0.1512414444
529	0.1507878472
530	0.1504475253
531	0.1500857056
532	0.1497250753
533	0.1496169979
534	0.1494285849
535	0.1492868103
536	0.1491266784
537	0.1489117784
538	0.1487230511
539	0.1486471295
540	0.1484198243
541	0.1482286838
542	0.1480722121
543	0.1478817241
544	0.1476578934
545	0.1474812653
546	0.1472962741
547	0.1470082138
548	0.1467132452
549	0.1465435302
550	0.146328127
551	0.1460275887
552	0.1458377232
553	0.1457177543
554	0.1454047708
555	0.1451765879
556	0.1450344139
557	0.1447810821
558	0.1445426202
559	0.1443441352
560	0.143913153
561	0.14365214
562	0.1434910994
563	0.1431849325
564	0.1430797693
565	0.1429233409
566	0.1426868001
567	0.1424568
568	0.1422511223
569	0.1420456203
570	0.141789449
571	0.1415570568
572	0.1413432645
573	0.1410791441
574	0.140942438
575	0.1406159042
576	0.140349578
577	0.1401783713
578	0.140016838
579	0.1396473356
580	0.1394105807
581	0.1392886771
582	0.1390776935
583	0.1388510629
584	0.1387715276
585	0.1384658434
586	0.1382241481
587	0.1379454906
588	0.1378068207
589	0.1375848482
590	0.1373772489
591	0.1371616151
592	0.1369905208
593	0.1368290365
594	0.1366077071
595	0.136338303
596	0.1361513075
597	0.1358987209
598	0.1357845922
599	0.1355373638
600	0.1354011076
601	0.1351523178
602	0.1349655738
603	0.134749172
604	0.134582097
605	0.1343618958
606	0.1342471506
607	0.1339873413
608	0.1338951825
609	0.1334771424
610	0.1333320658
611	0.133217742
612	0.133018106
613	0.1328990597
614	0.1327183257
615	0.132497893
616	0.1322201675
617	0.1320841624
618	0.1318509927
619	0.1315843278
620	0.1313439977
621	0.1311526884
622	0.1309815893
623	0.1307572037
624	0.1305102157
625	0.1303166541
626	0.13011764
627	0.1299575736
628	0.1297024114
629	0.1295366678
630	0.1293692378
631	0.1291286407
632	0.1289474505
633	0.1287235428
634	0.1286087189
635	0.1283878979
636	0.1281802185
637	0.1281433939
638	0.1278937855
639	0.1276713578
640	0.1274896264
641	0.1273003832
642	0.1271011318
643	0.1270136005
644	0.1267994553
645	0.1267282857
646	0.1266608871
647	0.1265063739
648	0.1262994899
649	0.1261105791
650	0.1259065481
651	0.1258050915
652	0.1256127938
653	0.1254202011
654	0.1252385346
655	0.1249734585
656	0.1248176388
657	0.1246442368
658	0.1245093393
659	0.1243385868
660	0.1241097556
661	0.1238635625
662	0.1236414614
663	0.1235784493
664	0.12340777
665	0.1231555395
666	0.1229466996
667	0.1229256972
668	0.1227837305
669	0.1226536584
670	0.1224973413
671	0.1224329319
672	0.1222571013
673	0.1220877635
674	0.1218869254
675	0.121717731
676	0.1214666804
677	0.1213639368
678	0.1212324537
679	0.1210165884
680	0.1207753293
681	0.1204931794
682	0.1203774356
683	0.1202305154
684	0.1200300286
685	0.1198656126
686	0.1196901571
687	0.119403559
688	0.1192520335
689	0.1190142315
690	0.118820278
691	0.1186654948
692	0.1184631111
693	0.1182784438
694	0.1181268571
695	0.1178866377
696	0.1176583777
697	0.1174830699
698	0.1172562416
699	0.1170555817
700	0.1168914005
701	0.1168071195
702	0.1166272701
703	0.1165103311
704	0.1163107452
705	0.1161286583
706	0.1159711728
707	0.1157265379
708	0.1155249666
709	0.1153178748
710	0.115236746
711	0.1150551797
712	0.1150012053
713	0.1148450375
714	0.1146244681
715	0.114570298
716	0.114420098
717	0.1142748462
718	0.1139844371
719	0.1138106474
720	0.1136860668
721	0.1134262829
722	0.1131917412
723	0.1129935131
724	0.1128718827
725	0.1127561194
726	0.1126219208
727	0.1124564277
728	0.112319009
729	0.1121331881
730	0.1119118196
731	0.1117487365
732	0.1116676642
733	0.1116104669
734	0.1113265188
735	0.1111386339
736	0.1110158452
737	0.1108017121
738	0.1106065079
739	0.1104186494
740	0.1102412296
741	0.1100833353
742	0.1100645962
743	0.1099485454
744	0.1097932553
745	0.1095907477
746	0.1094548644
747	0.1092613197
748	0.1091518687
749	0.1090286538
750	0.1089272531
751	0.1087371807
752	0.1085000977
753	0.1083709402
754	0.1082366853
755	0.1080850563
756	0.1079414809
757	0.1078036
758	0.1076538626
759	0.1075124952
760	0.107416729
761	0.1072786308
762	0.1071198778
763	0.1070101293
764	0.1069198013
765	0.1068029994
766	0.1066227624
767	0.1065661095
768	0.1063969547
769	0.1062190132
770	0.1060622065
771	0.1059604852
772	0.1057658164
773	0.1056157045
774	0.1054414785
775	0.1052988209
776	0.1051424963
777	0.1049910815
778	0.1048651944
779	0.1046572175
780	0.10458984
781	0.1044722627
782	0.104239045
783	0.1040974697
784	0.1039493633
785	0.1038402857
786	0.10373806
787	0.1035137809
788	0.103312735
789	0.1031002661
790	0.1029914649
791	0.1028543595
792	0.1026959409
793	0.1025770006
794	0.1024088005
795	0.1022337348
796	0.1021708113
797	0.1019667471
798	0.1018385771
799	0.1017781981
800	0.1016203534
801	0.1015177005
802	0.1013987581
803	0.101208633
804	0.1011243943
805	0.1010457625
806	0.1008932485
807	0.100735773
808	0.1006584516
809	0.1004845991
810	0.1003361128
811	0.1002304385
812	0.1001155398
813	0.1000381982
814	0.09993812363
815	0.09979844621
816	0.09971594072
817	0.09958019826
818	0.09946305562
819	0.09931124206
820	0.09915658963
821	0.09904800791
822	0.0989205141
823	0.09878700286
824	0.09872415846
825	0.09853170192
826	0.09838225778
827	0.09827299561
828	0.09817236293
829	0.09808242427
830	0.09793726427
831	0.09778957873
832	0.09768734464
833	0.09763207689
834	0.09753926771
835	0.09740649282
836	0.09727954865
837	0.09713417133
838	0.09697338016
839	0.09688548177
840	0.09675851965
841	0.09664889036
842	0.09653627239
843	0.09642137363
844	0.09626589412
845	0.09615218534
846	0.09601010474
847	0.09592881667
848	0.09581220361
849	0.09569733755
850	0.09559712895
851	0.09544794644
852	0.09533642773
853	0.09527350949
854	0.09508617895
855	0.09488647912
856	0.09471190925
857	0.09462716622
858	0.09454818215
859	0.09440621022
860	0.09433314864
861	0.09418354731
862	0.09402119691
863	0.09391105808
864	0.0938073576
865	0.09361575346
866	0.09343164895
867	0.09325417797
868	0.0931446489
869	0.09297384836
870	0.09291872198
871	0.09279875629
872	0.09270095087
873	0.09261850024
874	0.09248320824
875	0.09231750417
876	0.09224314922
877	0.09208968783
878	0.09200412404
879	0.0919035747
880	0.09178331995
881	0.09172461413
882	0.09159468339
883	0.09149472903
884	0.09136574247
885	0.09125888559
886	0.09115947453
887	0.09103201976
888	0.09099443929
889	0.09085716821
890	0.0907661092
891	0.09061216886
892	0.09048753924
893	0.09033893695
894	0.09021295488
895	0.09004966875
896	0.08989038088
897	0.08970423821
898	0.08960731051
899	0.08947169359
900	0.08935669882
901	0.0892400942
902	0.08916955501
903	0.08904523449
904	0.08891599474
905	0.08886092427
906	0.08872866103
907	0.08862509981
908	0.08850551179
909	0.08835990767
910	0.08826546226
911	0.0881674142
912	0.08811415613
913	0.08802257069
914	0.08793774537
915	0.08781575207
916	0.08769148957
917	0.08758368218
918	0.08748382172
919	0.08735469168
920	0.08725542516
921	0.0871218253
922	0.0870120652
923	0.08693202934
924	0.08678111882
925	0.08663042879
926	0.08654172653
927	0.08640130115
928	0.08628830762
929	0.08616746843
930	0.08607299349
931	0.08591239748
932	0.08577487743
933	0.08562316409
934	0.08542458041
935	0.08527073501
936	0.08522403873
937	0.08512775982
938	0.0850613919
939	0.08490921755
940	0.0847683628
941	0.08467941896
942	0.08459390054
943	0.08447295058
944	0.08441240914
945	0.08430199075
946	0.08421205419
947	0.08414146541
948	0.08401726516
949	0.08386194917
950	0.08364647152
951	0.0835368053
952	0.08340020095
953	0.08324658871
954	0.08324088671
955	0.08311246982
956	0.08296808627
957	0.08287464201
958	0.08277834728
959	0.08268825248
960	0.08259616278
961	0.08242893113
962	0.0823319106
963	0.08226715252
964	0.08211323223
965	0.08198867751
966	0.08191338577
967	0.0817726956
968	0.08169391092
969	0.08158539143
970	0.08146447313
971	0.08135696955
972	0.08128876496
973	0.08122529182
974	0.08111378682
975	0.08096016403
976	0.0809180515
977	0.0808282004
978	0.08082728787
979	0.08073206285
980	0.08060723912
981	0.08048487343
982	0.08037935422
983	0.08021564505
984	0.08004461453
985	0.08002298385
986	0.07989561452
987	0.07978444395
988	0.07965790381
989	0.07959897223
990	0.07952992473
991	0.0794240922
992	0.07933704304
993	0.07926383061
994	0.07917288974
995	0.07908113762
996	0.07901288767
997	0.07887344339
998	0.07881051355
999	0.07875709618
